iter	Passed	Remaining
159	231	1214
160	232	1209
161	232	1203
162	233	1197
163	233	1192
164	234	1186
165	235	1181
166	235	1176
167	236	1170
168	237	1166
169	237	1160
170	238	1155
171	238	1149
172	239	1144
173	239	1139
174	240	1133
175	241	1129
176	241	1124
177	242	1119
178	243	1115
179	243	1110
180	244	1105
181	244	1100
182	245	1096
183	246	1091
184	246	1087
185	247	1083
186	248	1079
187	248	1074
188	249	1070
189	249	1065
190	250	1061
191	251	1057
192	251	1053
193	252	1050
194	253	1047
195	254	1042
196	254	1038
197	255	1034
198	255	1029
199	256	1026
200	257	1022
201	257	1018
202	258	1015
203	259	1011
204	259	1006
205	260	1002
206	260	999
207	261	995
208	261	991
209	262	988
210	263	984
211	263	981
212	264	977
213	265	973
214	265	970
215	266	966
216	266	962
217	267	959
218	268	956
219	269	953
220	269	950
221	270	946
222	270	943
223	271	939
224	271	936
225	272	934
226	273	931
227	274	928
228	274	924
229	275	921
230	275	918
231	276	915
232	276	911
233	277	908
234	278	905
235	278	902
236	279	900
237	280	897
238	280	894
239	281	891
240	282	888
241	282	885
242	283	882
243	284	880
244	284	877
245	285	874
246	285	871
247	286	869
248	287	866
249	287	863
250	288	860
251	288	857
252	289	854
253	290	852
254	290	849
255	291	846
256	291	843
257	292	840
258	292	837
259	293	835
260	294	832
261	294	830
262	295	828
263	296	826
264	297	824
265	297	821
266	298	819
267	299	817
268	300	815
269	300	812
270	301	810
271	301	808
272	302	805
273	303	802
274	303	800
275	304	797
276	304	795
277	305	793
278	306	791
279	306	788
280	307	786
281	307	783
282	308	781
283	308	778
284	309	776
285	310	774
286	310	772
287	311	770
288	312	768
289	312	765
290	313	763
291	313	760
292	314	758
293	315	756
294	315	754
295	316	752
296	317	750
297	317	748
298	318	745
299	318	743
300	319	741
301	319	739
302	320	737
303	321	735
304	322	734
305	322	732
306	323	730
307	324	728
308	324	726
309	325	724
310	326	722
311	327	721
312	327	719
313	328	717
314	329	715
315	329	713
316	330	712
317	331	710
318	332	709
319	332	707
320	333	705
321	333	703
322	334	701
323	335	699
324	335	697
325	336	695
326	337	693
327	337	692
328	338	689
329	338	688
330	339	686
331	339	684
332	340	682
333	341	680
334	341	678
335	342	676
336	343	674
337	343	673
338	344	671
339	344	669
340	345	667
341	346	665
342	346	664
343	347	662
344	348	660
345	348	658
346	349	657
347	349	655
348	350	653
349	350	651
350	357	661
351	358	660
352	359	658
353	359	656
354	360	654
355	361	653
356	361	651
357	362	649
358	362	647
359	363	645
360	364	644
361	364	642
362	365	641
363	365	639
364	366	637
365	366	635
366	367	633
367	368	632
368	368	630
369	369	629
370	370	627
371	370	625
372	371	624
373	371	622
374	372	620
375	372	618
376	373	617
377	374	615
378	374	614
379	375	612
380	376	611
381	376	609
382	377	607
383	377	606
384	378	604
385	378	602
386	379	601
387	380	599
388	380	598
389	381	596
390	382	595
391	382	593
392	383	591
393	383	590
394	384	588
395	385	587
396	386	586
397	386	584
398	387	583
399	387	581
400	388	579
401	388	578
402	389	576
403	390	575
404	390	574
405	391	572
406	392	571
407	392	569
408	393	568
409	393	566
410	394	565
411	394	563
412	395	562
413	396	560
414	396	559
415	397	558
416	398	556
417	398	554
418	399	553
419	399	551
420	400	550
421	401	549
422	401	548
423	402	546
424	402	545
425	403	543
426	404	542
427	404	540
428	405	539
429	405	538
430	406	536
431	407	535
432	408	534
433	408	532
434	409	531
435	409	530
436	410	528
437	411	527
438	411	526
439	412	524
440	413	523
441	413	522
442	414	520
443	414	519
444	415	517
445	415	516
446	416	515
447	417	514
448	417	512
449	418	511
450	419	510
451	419	508
452	420	507
453	420	505
454	421	504
455	422	503
456	422	502
457	423	501
458	424	499
459	424	498
460	425	497
461	425	495
462	426	494
463	426	493
464	427	491
465	428	490
466	428	489
467	429	488
468	430	486
469	430	485
470	431	484
471	431	482
472	432	481
473	433	480
474	433	479
475	434	478
476	435	476
477	435	475
478	436	474
479	436	473
480	437	471
481	437	470
482	438	469
483	439	468
484	439	467
485	440	465
486	440	464
487	441	463
488	442	462
489	442	460
490	443	459
491	443	458
492	444	457
493	445	456
494	445	454
495	446	453
496	446	452
497	447	451
498	447	449
499	448	448
500	449	447
501	449	446
502	450	445
503	451	443
504	451	442
505	452	441
506	452	440
507	453	439
508	453	437
509	454	436
510	455	435
511	456	434
512	456	433
513	457	432
514	458	431
515	458	430
516	459	428
517	459	427
518	460	426
519	461	425
520	461	424
521	462	423
522	462	422
523	463	420
524	464	419
525	464	418
526	465	417
527	466	416
528	467	415
529	467	414
530	468	413
531	468	412
532	469	411
533	469	410
534	470	408
535	471	407
536	471	406
537	472	405
538	473	404
539	473	403
540	474	402
541	474	401
542	475	400
543	475	398
544	476	397
545	477	396
546	477	395
547	478	394
548	479	393
549	479	392
550	480	391
551	480	390
552	481	389
553	482	388
554	482	387
555	483	386
556	484	384
557	484	383
558	485	382
559	485	381
560	486	380
561	487	379
562	487	378
563	488	377
564	489	376
565	489	375
566	490	374
567	490	373
568	491	372
569	492	371
570	492	370
571	493	369
572	494	368
573	494	367
574	495	366
575	495	364
576	496	363
577	497	362
578	497	361
579	498	361
580	499	360
581	499	358
582	500	357
583	500	356
584	501	355
585	501	354
586	502	353
587	503	352
588	504	351
589	504	350
590	505	349
591	505	348
592	506	347
593	506	346
594	507	345
595	508	344
596	508	343
597	509	342
598	510	341
599	510	340
600	511	339
601	511	338
602	512	337
603	512	336
604	513	335
605	514	334
606	514	333
607	515	332
608	515	331
609	516	330
610	516	329
611	517	328
612	518	327
613	518	326
614	519	325
615	520	324
616	520	323
617	521	322
618	521	321
619	522	320
620	523	319
621	523	318
622	524	317
623	524	316
624	525	315
625	526	314
626	526	313
627	527	312
628	527	311
629	528	310
630	529	309
631	529	308
632	530	307
633	531	306
634	531	305
635	532	304
636	532	303
637	533	302
638	533	301
639	534	300
640	535	299
641	535	298
642	536	297
643	537	296
644	537	295
645	538	294
646	538	294
647	539	293
648	539	292
649	540	291
650	541	290
651	542	289
652	542	288
653	543	287
654	543	286
655	544	285
656	544	284
657	545	283
658	546	282
659	547	281
660	547	280
661	548	279
662	548	279
663	549	278
664	550	277
665	550	276
666	551	275
667	551	274
668	552	273
669	553	272
670	553	271
671	554	270
672	555	269
673	555	268
674	556	267
675	557	267
676	557	266
677	558	265
678	559	264
679	559	263
680	560	262
681	560	261
682	561	260
683	561	259
684	562	258
685	563	257
686	563	256
687	564	255
688	565	255
689	565	254
690	566	253
691	566	252
692	567	251
693	568	250
694	568	249
695	569	248
696	570	247
697	570	246
698	571	245
699	571	244
700	572	244
701	572	243
702	573	242
703	574	241
704	574	240
705	575	239
706	575	238
707	576	237
708	577	236
709	577	235
710	578	234
711	578	234
712	579	233
713	580	232
714	580	231
715	581	230
716	581	229
717	582	228
718	583	227
719	583	226
720	584	226
721	585	225
722	585	224
723	586	223
724	586	222
725	587	221
726	587	220
727	588	219
728	588	218
729	589	218
730	590	217
731	591	216
732	591	215
733	592	214
734	592	213
735	593	212
736	593	211
737	594	211
738	595	210
739	596	209
740	596	208
741	597	207
742	597	206
743	598	205
744	599	205
745	599	204
746	600	203
747	600	202
748	601	201
749	602	200
750	602	199
751	603	198
752	603	198
753	604	197
754	604	196
755	605	195
756	606	194
757	606	193
758	607	192
759	608	192
760	608	191
761	609	190
762	609	189
763	610	188
764	611	187
765	611	186
766	612	186
767	613	185
768	613	184
769	614	183
770	614	182
771	615	181
772	616	180
773	616	180
774	617	179
775	618	178
776	618	177
777	619	176
778	619	175
779	620	174
780	621	174
781	621	173
782	622	172
783	623	171
784	623	170
785	624	170
786	625	169
787	625	168
788	626	167
789	627	166
790	627	165
791	628	165
792	628	164
793	629	163
794	630	162
795	630	161
796	631	160
797	631	159
798	632	159
799	633	158
800	633	157
801	634	156
802	635	155
803	635	154
804	636	154
805	636	153
806	637	152
807	638	151
808	638	150
809	639	149
810	640	149
811	640	148
812	641	147
813	641	146
814	642	145
815	642	144
816	643	144
817	644	143
818	644	142
819	645	141
820	646	140
821	646	140
822	647	139
823	647	138
824	648	137
825	649	136
826	649	135
827	650	135
828	650	134
829	651	133
830	652	132
831	652	131
832	653	130
833	653	130
834	654	129
835	655	128
836	655	127
837	656	126
838	657	126
839	658	125
840	658	124
841	659	123
842	660	122
843	660	122
844	661	121
845	661	120
846	662	119
847	662	118
848	663	118
849	664	117
850	664	116
851	665	115
852	665	114
853	666	113
854	667	113
855	667	112
856	668	111
857	669	110
858	669	109
859	670	109
860	670	108
861	671	107
862	672	106
863	672	105
864	673	105
865	674	104
866	675	103
867	675	102
868	676	101
869	676	101
870	677	100
871	678	99
872	678	98
873	679	97
874	680	97
875	680	96
876	681	95
877	681	94
878	682	93
879	682	93
880	683	92
881	684	91
882	685	90
883	685	90
884	686	89
885	687	88
886	687	87
887	688	86
888	688	85
889	689	85
890	690	84
891	690	83
892	691	82
893	691	82
894	692	81
895	693	80
896	693	79
897	694	78
898	694	78
899	695	77
900	696	76
901	696	75
902	697	74
903	697	74
904	698	73
905	699	72
906	699	71
907	700	70
908	700	70
909	701	69
910	702	68
911	702	67
912	703	67
913	703	66
914	704	65
915	704	64
916	705	63
917	706	63
918	707	62
919	707	61
920	708	60
921	708	59
922	709	59
923	710	58
924	710	57
925	711	56
926	712	56
927	712	55
928	713	54
929	713	53
930	714	52
931	714	52
932	715	51
933	716	50
934	716	49
935	717	49
936	718	48
937	719	47
938	719	46
939	720	45
940	721	45
941	721	44
942	722	43
943	723	42
944	723	42
945	724	41
946	724	40
947	725	39
948	726	39
949	726	38
950	727	37
951	728	36
952	729	35
953	729	35
954	730	34
955	730	33
956	731	32
957	731	32
958	732	31
959	733	30
960	734	29
961	734	29
962	735	28
963	735	27
964	736	26
965	736	25
966	737	25
967	738	24
968	738	23
969	739	22
970	740	22
971	740	21
972	741	20
973	741	19
974	742	19
975	742	18
976	743	17
977	744	16
978	744	15
979	745	15
980	745	14
981	746	13
982	747	12
983	747	12
984	748	11
985	749	10
986	749	9
987	750	9
988	750	8
989	751	7
990	752	6
991	752	6
992	753	5
993	754	4
994	754	3
995	755	3
996	756	2
997	756	1
998	757	0
999	757	0
